species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,total_cup_points,moisture,altitude_mean_meters
Arabica,Ethiopia,,8.67,8.67,8.75,8.5,8.42,10,90.58,0.12,2075
Arabica,Ethiopia,Other,8.75,8.5,8.58,8.42,8.42,10,89.92,0.12,2075
Arabica,Guatemala,Bourbon,8.42,8.42,8.42,8.33,8.42,10,89.75,0,1700
Arabica,Ethiopia,,8.17,8.42,8.42,8.5,8.25,10,89,0.11,2000
Arabica,Ethiopia,Other,8.25,8.25,8.5,8.42,8.33,10,88.83,0.12,2075
Arabica,Brazil,,8.58,8.42,8.5,8.25,8.33,10,88.83,0.11,NA
Arabica,Peru,Other,8.42,8.33,8.5,8.25,8.25,10,88.75,0.11,NA
Arabica,Ethiopia,,8.25,8.5,8.42,8.33,8.5,9.33,88.67,0.03,1635
Arabica,Ethiopia,,8.67,8.58,8.42,8.33,8.42,9.33,88.42,0.03,1635
Arabica,Ethiopia,Other,8.08,8.5,8.5,7.67,8.42,10,88.25,0.1,1822.5
Arabica,Ethiopia,,8.17,8.25,8.5,7.75,8.17,10,88.08,0.1,1905
Arabica,United States,Other,8.25,8.17,8.33,8.08,8.17,10,87.92,0,1872
Arabica,United States,Other,8.08,8.33,8.42,8,8.08,10,87.92,0,1943
Arabica,United States (Hawaii),,8.33,8.08,8.25,8.25,8,10,87.92,0,609.6
Arabica,Ethiopia,,8.25,8.5,8.25,8.58,8.75,9.33,87.83,0.05,1635
Arabica,United States,Other,8,8.58,8.17,8.17,8,10,87.58,0,2080
Arabica,Indonesia,,8.33,7.83,7.75,8.5,8.42,10,87.42,0.03,1500
Arabica,Ethiopia,,8.17,8.25,8.33,8.42,8.33,9.33,87.33,0.05,NA
Arabica,China,Catimor,8.42,8.08,8.17,7.92,8,10,87.25,0.1,1450
Arabica,Ethiopia,Ethiopian Yirgacheffe,8.17,8,8.17,8.08,8.33,10,87.25,0,1850
Arabica,United States,Other,8,8.08,8.5,8.25,8,10,87.25,0,2019
Arabica,Costa Rica,Caturra,8.08,8,8.17,8,8.33,10,87.17,0.11,1300
Arabica,Mexico,Other,8.17,8.17,8,7.83,8.17,10,87.17,0.13,1320
Arabica,United States,Other,8.25,8.17,8.17,7.83,8.17,10,87.08,0,2112
Arabica,Ethiopia,,8.42,7.92,8.17,8.33,8,10,87.08,0.11,NA
Arabica,Brazil,Bourbon,8.5,8,8,8,8,10,86.92,0.12,1250
Arabica,Ethiopia,,7.83,8.08,8.17,8.17,8.17,10,86.92,0.05,NA
Arabica,Uganda,SL14,8.42,8.17,8.17,7.83,7.92,10,86.83,0.12,1950
Arabica,Honduras,Caturra,8.17,8.08,8,8.08,8,10,86.67,0.1,1400
Arabica,Taiwan,Sumatra,8,8,8.25,8,8.17,10,86.58,0,1200
Arabica,Nicaragua,,7.92,8,8.33,8,8.08,10,86.58,0.08,NA
Arabica,"Tanzania, United Republic Of",,8.42,8.17,8,7.58,8,10,86.5,0.11,NA
Arabica,Brazil,Bourbon,8.5,8,7.75,8,8,10,86.42,0.12,1300
Arabica,Costa Rica,Caturra,8.17,8,8.08,7.83,8,10,86.33,0,1300
Arabica,Ethiopia,,8,7.92,8,8.08,8.08,10,86.25,0.1,1775
Arabica,Kenya,SL34,8.08,8,8.25,7.92,7.92,10,86.25,0.12,1800
Arabica,United States (Hawaii),Hawaiian Kona,8.08,8,7.92,7.92,7.83,10,86.25,0,NA
Arabica,United States (Hawaii),,8.25,8.08,7.75,7.67,7.83,10,86.25,0,NA
Arabica,Ethiopia,,7.92,8.08,8.08,8.08,8.17,10,86.25,0.1,NA
Arabica,United States,Other,7.67,8,8,8.17,8.08,10,86.17,0,1941
Arabica,Thailand,Caturra,7.83,7.83,8.25,7.58,7.92,10,86.17,0.1,1300
Arabica,Brazil,Yellow Bourbon,8.17,7.92,7.75,8.33,8,10,86.17,0.08,12
Arabica,Brazil,Yellow Bourbon,8.42,8,7.75,7.92,8,10,86.17,0.01,12
Arabica,Taiwan,Bourbon,8.08,7.75,8.08,7.75,7.83,10,86.08,0.12,1000
Arabica,Kenya,SL28,8.08,8,8,7.83,8.08,10,86.08,0.11,1754
Arabica,Brazil,Bourbon,8.33,8,8,7.75,8,10,86.08,0.11,1250
Arabica,Uganda,,8.08,7.83,7.92,8.08,7.92,10,86,0,NA
Arabica,Colombia,Caturra,7.75,7.83,8.08,8.08,8.17,10,86,0.12,1200
Arabica,Kenya,SL28,7.92,7.83,8.5,7.5,7.92,10,86,0.11,1860
Arabica,Uganda,Other,8.25,7.83,8.08,8,7.92,10,86,0.1,1650
Arabica,Ethiopia,,7.75,8,8.25,8,8,10,86,0.01,1750
Arabica,United States (Hawaii),,8.33,7.75,8,7.75,7.83,10,86,0,426.72
Arabica,Guatemala,Bourbon,7.92,7.92,8.08,8.08,7.83,10,85.92,0.1,NA
Arabica,Uganda,SL14,8.17,7.92,8.08,7.83,7.75,10,85.92,0.12,1650
Arabica,Colombia,Caturra,8,8,8.17,7.83,8,10,85.92,0,1800
Arabica,Panama,Gesha,8,7.92,8.08,7.83,8,10,85.83,0.08,1600
Arabica,Ethiopia,,7.83,7.92,8.08,8,7.92,10,85.83,0.1,1900
Arabica,Guatemala,Bourbon,7.83,8,8.17,7.83,8,10,85.83,0.12,1524
Arabica,Guatemala,Catuai,8,7.83,8.33,7.83,7.83,10,85.83,0.1,1417.32
