IN,Bank Name,CEO,Year,Total Assets,Employees
1,UBS,Carsten Kengeter,2011,1419162,64820
1,UBS,Sergio Ermotti,2012,1259800,62628
1,UBS,Sergio Ermotti,2013,1013360,60205
1,UBS,Sergio Ermotti,2014,1062480,60155
1,UBS,Sergio Ermotti,2015,942819,60099
1,UBS,Sergio Ermotti,2016,935016,59387
1,UBS,Sergio Ermotti,2017,939279,61253
1,UBS,Sergio Ermotti,2018,958489,66888
1,UBS,Sergio Ermotti,2019,972183,68601
1,UBS,Ralph Hamers,2020,1125765,71551
2,Credit Suisse,Brady W. Dougan,2011,1049160,49700
2,Credit Suisse,Brady W. Dougan,2012,924280,47400
2,Credit Suisse,Brady W. Dougan,2013,872806,46000
2,Credit Suisse,Brady W. Dougan,2014,921462,45800
2,Credit Suisse,Tidjane Thiam,2015,820805,48200
2,Credit Suisse,Tidjane Thiam,2016,819861,47170
2,Credit Suisse,Tidjane Thiam,2017,796289,46840
2,Credit Suisse,Tidjane Thiam,2018,768916,45680
2,Credit Suisse,Tidjane Thiam,2019,787295,47860
2,Credit Suisse,Thomas Gottstein,2020,805822,48770
3,Raiffeisen Switzerland,Pierin Vincenz,2011,147239,9770
3,Raiffeisen Switzerland,Pierin Vincenz,2012,168124,10540
3,Raiffeisen Switzerland,Pierin Vincenz,2013,176575,10593
3,Raiffeisen Switzerland,Pierin Vincenz,2014,188404,10755
3,Raiffeisen Switzerland,Patrik Gisel,2015,205748,11046
3,Raiffeisen Switzerland,Patrik Gisel,2016,218590,11026
3,Raiffeisen Switzerland,Patrik Gisel,2017,227728,11158
3,Raiffeisen Switzerland,Patrik Gisel,2018,225333,10947
3,Raiffeisen Switzerland,Heinz Huber,2019,248345,11045
4,Zurich Cantonal Bank,Martin Scholl,2011,133999,
4,Zurich Cantonal Bank,Martin Scholl,2012,150694,5068
4,Zurich Cantonal Bank,Martin Scholl,2013,149707,4818
4,Zurich Cantonal Bank,Martin Scholl,2014,158392,4844
4,Zurich Cantonal Bank,Martin Scholl,2015,154410,5179
4,Zurich Cantonal Bank,Martin Scholl,2016,157985,5173
4,Zurich Cantonal Bank,Martin Scholl,2017,163881,5117
4,Zurich Cantonal Bank,Martin Scholl,2018,169408,5087
4,Zurich Cantonal Bank,Martin Scholl,2019,167054,5145
4,Zurich Cantonal Bank,Martin Scholl,2020,188364,5180
5,Julius Baer,Boris F. J. Collardi,2011,52929,3643
5,Julius Baer,Boris F. J. Collardi,2012,54821,3721
5,Julius Baer,Boris F. J. Collardi,2013,72522,5390
5,Julius Baer,Boris F. J. Collardi,2014,82234,5247
5,Julius Baer,Boris F. J. Collardi,2015,84116,5364
5,Julius Baer,Boris F. J. Collardi,2016,96207,6026
5,Julius Baer,Boris F. J. Collardi,2017,97917,6292
5,Julius Baer,Bernhard Hodler,2018,102898,6693
5,Julius Baer,Philipp Rickenbacher,2019,102035,6639
6,Banque Cantonale Vaudoise,Pascal Kiener,2011,37903,2042
6,Banque Cantonale Vaudoise,Pascal Kiener,2012,39800,1931
6,Banque Cantonale Vaudoise,Pascal Kiener,2013,40454,1987
6,Banque Cantonale Vaudoise,Pascal Kiener,2014,41819,1946
6,Banque Cantonale Vaudoise,Pascal Kiener,2015,43418,1947
6,Banque Cantonale Vaudoise,Pascal Kiener,2016,44085,1943
6,Banque Cantonale Vaudoise,Pascal Kiener,2017,45415,1922
6,Banque Cantonale Vaudoise,Pascal Kiener,2018,47863,1896
6,Banque Cantonale Vaudoise,Pascal Kiener,2019,48352,1896
7,EFG International,Giorgio Pradelli,2011,21041,2547
7,EFG International,Giorgio Pradelli,2012,23605,2260
7,EFG International,Giorgio Pradelli,2013,21699,1989
