Month,Category,AVG Monthly Visits,AVG Monthly Visitors,Product Views,Orders,Offered items,Bought items,Revenue,€ Margin,€ media costs,€ voucher costs,DE New Babies,DE yoy,# New Customer,# Existing Customer
10/20,MT,4332595,2989491,10158089,196700,3325617,629440,27341300,7356580,1225441,1028741,66019,-0.01,25816,135256
11/20,MT,7466813,6645464,23469682,317340,3488572,1047222,35542080,12407994,2567281,2405437,59502,-0.02,48129,195979
12/20,MT,5070058,2687131,8929636,237735,3600206,641885,27101790,8653554,1293278,1628485,60716,0.01,50558,165565
1/21,MT,3917772,2624907,8941835,157690,3744214,457301,20342010,5724147,509339,559800,59752,-0.06,24660,112462
2/21,MT,3595132,2876106,8261665,143086,3931425,429258,16741062,5322799,543727,476476,61835,0.05,20022,101791
3/21,MT,4194321,3774889,12814157,210790,3982534,695607,26348750,7714914,1551414,1422833,65892,0.06,35248,148470
4/21,MT,3088126,1667588,5259148,144802,4038289,463366,11004952,5531436,828960,771795,62457,0.02,20418,103472
5/21,MT,3364675,2388919,8360856,126404,4167514,417133,10617936,4778071,790162,635812,64759,0,16932,92077
10/20,MTB,866519,478319,1019504,26228,665123,49309,1311400,577016,169957,110944,,,,
11/20,MTB,792865,564520,1613090,23639,697714,40895,1583808,570171,156372,94792,,,,
12/20,MTB,720901,305662,821834,24121,720041,42212,1495516,463610,167703,92867,,,,
1/21,MTB,498993,267460,737173,23738,748843,42491,1400557,518206,166643,86645,,,,
2/21,MTB,1109235,709911,1483078,24566,786285,44710,1326552,510214,181999,99475,,,,
3/21,MTB,1654230,1191046,2807990,31690,796507,55457,1855263,658052,256983,140372,,,,
4/21,MTB,1597179,689981,1960603,24813,807658,42182,1364709,464001,184137,91808,,,,
5/21,MTB,1309687,743902,1680470,25727,833503,47081,1723738,534359,200607,100337,,,,
