Einzelhandel,Hauptsitz,Gegründet,Mitarbeiter,Umsatz ( Mio EUR),Umsatz per Mitarbeiter,CEO,www
Tedi,"Dortmund, DE",2004,22871,3000,0.13,Petar Burazin,www.tedi.com
Action,"Zwaagdijk-Oost, NL",1993,70000,11300,0.16,Hajir Hajji,www.action.com
Woolworth,"Unna, DE",2010,7814,642,0.08,Roman Heini,www.woolworth.de
Kik,"Bönen, DE",1994,32000,2400,0.08,Patrick Zahn,www.kik.eu
Hema,"Amsterdam, NL",1926,17000,2100,0.12,Saskia Egas Reparaz,www.hema.nl
Pepco,"London, UK",1999,30000,3500,0.12,Stephan Borchert,www.pepcogroup.eu
Pfennigpfeiffer,"Landsberg, DE",1990,800,75,0.09,Kay Linke,www.tedi.com
Mäc Geiz,"Landsberg, DE",1994,1500,160,0.11,Kay Linke,www.mac-geiz.de
T. Phillips,"Bissendorf, DE",1986,4200,683,0.16,André Philipps,www.thomas-philipps.de
EuroShop,"Dettelbach, DE",2004,3000,140,0.05,Jürgen Scheller,www.euroshop-online.de
