rice,sugar,lemon,vegetables mix,red cabbage,yoghurt,chocolate,quark,energy drink,tomato juice,low fat yoghurt,syrup,artificial sweetener,salad,spinach
cabbage,white cabbage,skimmed milk,,,,,,,,,,,,
tomato,paper,,,,,,,,,,,,,
cucumber,,,,,,,,,,,,,,
mineral water,milk,red cabbage,rice,tea,berries,ticket,,,,,,,,
low fat yoghurt,,,,,,,,,,,,,,
konjak rice,soy sauce,,,,,,,,,,,,,
soup,light cream,tea,,,,,,,,,,,,
frozen vegetables,asparagus,tofu,celery,,,,,,,,,,,
candy,,,,,,,,,,,,,,
shampoo,detergent,,,,,,,,,,,,,
toothpaste,milk powder,,,,,,,,,,,,,
toothbrush,kale,mineral water,rice,sugar,paper,,,,,,,,,
cabbage,ginger,cucumber,,,,,,,,,,,,
white cabbage,salmon,,,,,,,,,,,,,
red cabbage,,,,,,,,,,,,,,
asparagus,chocolate,quark,konjak noodle,salt,skimmed milk,low fat yoghurt,,,,,,,,
chewing gum,mouthwash,,,,,,,,,,,,,
parfum,socks,tomatoes,spaghetti,mineral water,tea,instant tea,lemon,lime,,,,,,
vitamins,milk,vitamin water,apple,protein shake,beverages,,,,,,,,,
soda,vinegar,cucumber,pepper,cocoa,chocolate,shampoo,,,,,,,,
rice,sparkling water,,,,,,,,,,,,,
root vegetables,mineral water,other vegetables,konjak noodle,apple,instant tea,,,,,,,,,
mango,,,,,,,,,,,,,,
herb quark,quark,,,,,,,,,,,,,
citrus fruit,,,,,,,,,,,,,,
berries,,,,,,,,,,,,,,
konjak rice,konjak noodle,yoghurt,,,,,,,,,,,,
konjak noodle,konjak rice,,,,,,,,,,,,,
gel,,,,,,,,,,,,,,
cleaner,,,,,,,,,,,,,,
cabbage,quark,,,,,,,,,,,,,
white cabbage,,,,,,,,,,,,,,
red cabbage,rice,cucumber,pepper,cocoa,herb quark,,,,,,,,,
kimchi,milkshake,,,,,,,,,,,,,
tea,milk powder,soda,sugar,,,,,,,,,,,
tofu,,,,,,,,,,,,,,
syrup,,,,,,,,,,,,,,
salad,pepper,cocoa,herb quark,,,,,,,,,,,
paper,,,,,,,,,,,,,,
mango,sugar,,,,,,,,,,,,,
asparagus,chewing gum,,,,,,,,,,,,,
