UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,Position_CH,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered,Age,Size,BCG,Ratio,Sales per Emp_count
N,Valora,Spettacolo,http://spettacolo.ch/de/index.php,3,10000000,N,33,11376,Y,80588,300,300,0.21,569,8,300,25000,Switzerland,Muttenz,1992,Aging,XS,Question mark,High Industry Growth,3333333.33
N,N,Cervino,http://www.caffe-cervino.ch,3,1000000,N,4,220,N,139874,300,300,1.41,578,2,465,100000,Switzerland,Naters,1986,Aging,XS,Dog,Low Industry Growth,333333.33
CHE-364.997.982,Tee/Kaffee/Kakao,Dongeorge,http://www.dongeorge.ch,9,1000000,N,0,8504,N,354287,300,300,0.21,584,6,1275,100000,Switzerland,Untervaz,2012,New,XS,Dog,Low Industry Growth,111111.11
CHE-112.254.157,Sonstiger ahrungsmittel-/Lebensmittelhandel,Original food,http://www.originalfood.ch,3,1000000,2016 Juli,0,44,Y,98749,300,300,0.21,585,34,660,20000,Switzerland,Hergiswil,2005,Mature,XS,Dog,Low Industry Growth,333333.33
N,N,Vitali,http://www.caffeista.com,9,1000000,N,24,220,N,423670,300,300,2.08,608,15,1260,630000,Switzerland,Zurich,2014,New,XS,Dog,Low Industry Growth,111111.11
CHE-350.334.433,Herstellung/Verarbeitung von Lebensmitteln,Bertschi,http://www.bertschi-cafe.ch,3,10000000,2016 Juli,39,828,Y,40039,300,300,0.21,614,38,1425,200000,Switzerland,Birsfelden,2013,New,XS,Question mark,High Industry Growth,3333333.33
CHE-102.368.492,UCC,Raygil,http://www.raygil.ch,15,10000000,N,0,1463,N,98840,300,300,1.08,623,44,840,480000,Switzerland,Baulmes-s/Yverdon,1964,Aging,S,Dog,Low Industry Growth,666666.67
CHE-100.437.343,Herstellung von Getr_nken,La Columbiana,http://www.lacolumbiana.ch,3,1000000,2016 Juli,0,481,Y,421161,300,300,1.41,660,8,285,100000,Switzerland,Basel,1989,Aging,XS,Dog,Low Industry Growth,333333.33
N,N,Bohnus,http://www.bohnus.ch,9,1000000,N,0,52,N,418444,300,300,2.08,660,6,210,300000,Switzerland,Bunzen,1957,Aging,XS,Dog,Low Industry Growth,111111.11
CHE-227.954.502,Herstellung von Getr_nken,Kafi schmitte,http://www.kafischmitte.ch,9,1000000,2016 Juli,2,1463,Y,131070,300,300,0.74,667,29,705,20000,Switzerland,Langnau,2014,New,XS,Dog,Low Industry Growth,111111.11
CHE-293.158.291,JDE,Jacobs,https://www.medailledor.ch,3,10000000,N,21,60,N,142489,300,300,0.51,668,8,1455,20000,Switzerland,Zug,2015,New,XS,Question mark,High Industry Growth,3333333.33
CHE-338.550.279,Herstellung von Getr_nken,Cafethek,http://www.cafethek.ch,3,1000000,2016 Juli,0,1418,N,380395,300,300,0.6,675,8,540,20000,Switzerland,Wabern,2011,New,XS,Dog,Low Industry Growth,333333.33
CHE-102.368.492,UCC,Sima,http://www.simakaffee.ch,5,10000000,N,12,11376,N,287080,300,300,2.16,690,13,720,100000,Switzerland,Trimmis,1969,Aging,XS,Question mark,High Industry Growth,2000000
CHE-105.938.954,Herstellung von Getr_nken,Hemmi,http://www.hemmi.ch,19,10000000,2016 Juli,2,220,Y,52789,300,300,0.18,698,21,8400,300000,Switzerland,Geroldswil,1931,Aging,S,Dog,Low Industry Growth,526315.79
CHE-107.856.327,Delica,Inflagranti,http://www.inflagranticaffe.ch,3,1000000,N,0,8504,N,160313,300,300,1.32,698,6,285,100000,Switzerland,Birsfelden,2004,Mature,XS,Dog,Low Industry Growth,333333.33
N,N,Ricklis,https://www.ricklis.ch,499,10000000,N,0,4287,N,446603,300,300,2.16,705,6,285,350000,Switzerland,Uznach,2004,Mature,L,Cash Cow,Low Industry Growth,20040.08
CHE-115.200.301,Tee/Kaffee/Kakao,Casablanca,http://kaffeecasablanca.ch,9,1000000,2016 August,18,862,N,449956,300,300,2.08,713,8,195,100000,Switzerland,Allschwil,2009,New,XS,Dog,Low Industry Growth,111111.11
CHE-101.272.352,Herstellung von pharmazeutischen Produkten,Saprochi,http://www.saprochi.ch,49,100000000,2016 August,0,1356,N,119576,300,300,0.2,720,13,75,335000,Switzerland,Gland,1935,Aging,S,Question mark,High Industry Growth,2040816.33
CHE-100.618.198,Herstellung von Getr_nken,Kaffee Knubel,http://www.kaffee-knubel.ch,9,1000000,N,2,52,Y,206024,300,300,0.84,720,6,240,100000,Switzerland,Beromanster,1990,Aging,XS,Dog,Low Industry Growth,111111.11
CHE-107.125.620,Herstellung von Getr_nken,Graf,https://www.graf-kaffee.ch,3,1000000,2016 August,6,220,Y,35353,300,300,2.08,735,27,450,180000,Switzerland,Datwill,1957,Aging,XS,Dog,Low Industry Growth,333333.33
N,N,Cafee pippo,http://www.caffepippo.ch,9,10000000,N,29,8504,N,486713,300,300,1.16,735,2,30,20000,Switzerland,Chur,1990,Aging,XS,Question mark,High Industry Growth,1111111.11
N,N,Radical beans,http://www.radicalbeans.ch,40,1000000,N,0,1075,N,442142,300,300,1.41,743,15,255,100000,Switzerland,N,1997,Aging,S,Dog,Low Industry Growth,25000
CHE-488.927.731,Sonstiger ahrungsmittel-/Lebensmittelhandel,Kaffa,www.kaffa.ch,3,10000000,N,9,862,Y,552047,300,300,0.84,744,8,30,100000,Switzerland,Kriens,2016,New,XS,Question mark,High Industry Growth,3333333.33
N,N,Carlito,http://www.caffecarlito.ch,3,10000000,N,27,8504,N,444124,300,300,1.16,750,17,30,180000,Switzerland,Zandone,1965,Aging,XS,Question mark,High Industry Growth,3333333.33
CHE-110.518.026,Herstellung von Getr_nken,Pausa kaffee,www.pausacaffe.ch,9,1000000,2016 Juli,0,75,N,101905,300,300,1.72,758,21,1185,20000,Switzerland,Rivera,2004,Mature,XS,Dog,Low Industry Growth,111111.11
CHE-110.588.624,Handel mit Produkten f_r Haus/Wohnen,Carluccio,https://www.caffecarluccio.ch,3,10000000,2016 Juli,49,7995,N,260046,300,300,0.6,765,6,165,20000,Switzerland,Gumligen,2004,Mature,XS,Question mark,High Industry Growth,3333333.33
CHE-103.278.590,Herstellung von Getr_nken,Spielhof,http://www.spielhofkaffee.ch,3,1000000,N,4,52,N,288000,300,300,1.5,765,11,420,20000,Switzerland,Glarus,1973,Aging,XS,Dog,Low Industry Growth,333333.33
CHE-105.909.036,Nestle SA,Incarom,http://www.incarom.ch/,99,300000000,N,3,4287,Y,192619,229,229,0.1,765,6,585,335000,Switzerland,Vevey,1957,Aging,M,Question mark,High Industry Growth,3030303.03
CHE-107.856.327,Delica,Cremesso,http://www.cremesso.com,9,10000000,N,5,8504,Y,544816,300,300,2.08,766,6,540,350000,Switzerland,Birsfelden,2004,Mature,XS,Question mark,High Industry Growth,1111111.11
